i j mu_x mu_y mu_z deltaE
2 19 -0.00000000 0.00000000 -0.00000020 3.40970000
2 20 -0.08785930 0.14227770 0.00000000 3.57030000
2 21 -0.06102140 -0.03860440 -0.00000000 3.60100000
2 22 -0.80667150 1.30552990 0.00000000 3.63460000
2 23 -0.00000000 0.00000000 0.00003670 3.67620000
2 24 0.00000000 0.00000000 0.03538350 3.72440000
2 25 0.04263760 -0.06892870 -0.00000000 3.85970000
2 26 -0.00053440 0.00086800 -0.00000000 3.90110000
2 27 -0.37626670 -0.23250250 0.00000000 3.98140000
2 28 -0.00000000 -0.00000000 0.00000970 4.00630000
2 29 -0.00000000 0.00000000 0.00000820 4.17620000
2 30 -0.00000270 -0.00000170 -0.00000000 4.26780000
2 31 0.00000000 -0.00000000 -0.00000080 4.33510000
2 32 -0.00000000 0.00000000 0.00038100 4.37060000
2 33 0.00191880 0.00111500 -0.00000000 4.40910000
2 34 -0.02659310 -0.01647760 -0.00000000 4.45750000
2 35 0.00000000 0.00000000 -0.00887430 4.48690000
2 36 0.00000000 -0.00000000 -0.00011310 4.58430000
2 37 -0.33806310 0.54717350 0.00000000 4.63830000
2 38 0.00000000 0.00000000 -0.00000000 4.64290000
2 39 0.00011110 -0.00017980 0.00000000 4.70890000
2 40 -0.00000000 -0.00000000 0.00000400 4.71190000
2 41 -0.00000000 -0.00000000 -0.00000310 4.84110000
2 42 0.03538770 -0.05727190 0.00000000 4.86950000
2 43 0.00000000 0.00000000 -0.00014830 4.95460000
2 44 0.00000000 0.00000000 -0.00000170 5.05520000
2 45 0.00002620 0.00001630 0.00000000 5.06340000
2 46 0.68413600 -1.10735040 0.00000000 5.09110000
2 47 -0.00432870 0.00111080 -0.00000000 5.09130000
2 48 0.47374770 -0.76676790 0.00000000 5.14520000
2 49 0.00043130 -0.00069800 -0.00000000 5.18010000
2 50 0.00000000 0.00000000 -0.10704330 5.23850000
2 51 0.00000000 0.00000000 -0.03327370 5.23990000
2 52 0.00000000 0.00000000 0.08604220 5.26880000
2 53 -0.00037360 0.00060440 0.00000000 5.30470000
2 54 -0.00000000 -0.00000000 0.00000060 5.31650000
2 55 0.00000000 0.00000000 -0.00000060 5.38810000
2 56 -0.00000000 -0.00000000 -0.00324370 5.43520000
2 57 0.00004510 0.00002630 -0.00000000 5.44300000
2 58 0.00000000 -0.00000000 -0.00000010 5.52400000
2 59 -0.00006260 0.00010130 0.00000000 5.60740000
2 60 0.00000000 0.00000000 -0.00000110 5.60860000
2 61 0.01277930 0.00789560 0.00000000 5.65010000
2 62 -0.00001030 -0.00000700 -0.00000000 5.73500000
2 63 -0.00000000 -0.00000000 0.00000000 5.82400000
2 64 -0.00000000 0.00000000 -0.20910900 5.87570000
2 65 0.04857340 -0.07861380 0.00000000 5.89520000
2 66 -0.00009750 0.00015800 -0.00000000 5.93090000
2 67 0.00000000 -0.00000000 0.00000580 5.97800000
2 68 0.08762060 -0.14182010 0.00000000 5.98100000
2 69 -0.03266760 0.05287250 -0.00000000 6.07230000
2 70 0.00000000 0.00000000 0.06782800 6.12890000
2 71 0.00000000 0.00000000 -0.09302230 6.17960000
2 72 0.00000000 -0.00000000 -0.00001750 6.20490000
