 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000274   -0.000169    0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1    16     0.0006412    -0.0004020     0.0000000     3.76420     0.00000
     1    17     0.0000000     0.0000000     0.0000018     3.80540     0.00000
     1    18     0.0000988     0.0001532     0.0000000     3.83440     0.00000
     1    19     0.0000000     0.0000000    -0.0002341     4.03220     0.00000
     1    20     0.1104763    -0.0682927     0.0000000     4.19290     0.00173
     1    21    -0.0151900    -0.0257640     0.0000000     4.22350     0.00009
     1    22    -1.0961203     0.6771678     0.0000000     4.25710     0.17314
     1    23     0.0000000     0.0000000     0.5689311     4.29870     0.03409
     1    24     0.0000000     0.0000000    -0.0000145     4.34690     0.00000
     1    25     0.0469501    -0.0289429     0.0000000     4.48220     0.00033
     1    26     0.0000780    -0.0000484     0.0000000     4.52360     0.00000
     1    27    -0.3395317    -0.5496480     0.0000000     4.60390     0.04708
     1    28     0.0000000     0.0000000    -0.0000005     4.62880     0.00000
     1    29     0.0000000     0.0000000     0.1386388     4.79870     0.00226
     1    30     0.0000239     0.0000390     0.0000000     4.89030     0.00000
     1    31     0.0000000     0.0000000    -0.0004145     4.95770     0.00000
     1    32     0.0000000     0.0000000     0.0000026     4.99310     0.00000
     1    33    -0.3068670    -0.4968194     0.0000000     5.03160     0.04204
     1    34    -0.5746685    -0.9300788     0.0000000     5.08000     0.14876
     1    35     0.0000000     0.0000000    -0.0000283     5.10940     0.00000
     1    36     0.0000000     0.0000000    -0.0000011     5.20680     0.00000
     1    37     1.0392554    -0.6420838     0.0000000     5.26080     0.19234
     1    38     0.0000000     0.0000000     0.0000151     5.26540     0.00000
     1    39     0.0002963    -0.0001826     0.0000000     5.33140     0.00000
     1    40     0.0000000     0.0000000     0.0526163     5.33440     0.00036
     1    41     0.0000000     0.0000000     0.1269411     5.46360     0.00216
     1    42    -0.2965616     0.1832138     0.0000000     5.49200     0.01635
     1    43     0.0000000     0.0000000    -0.0000012     5.57720     0.00000
     1    44     0.0000000     0.0000000     0.0275056     5.67770     0.00011
     1    45    -0.0000192    -0.0000321     0.0000000     5.68600     0.00000
     1    46    -0.4517586     0.2792434     0.0000000     5.71360     0.03948
     1    47     0.0105195     0.0018403     0.0000000     5.71370     0.00002
     1    48     0.2565916    -0.1585240     0.0000000     5.76770     0.01285
     1    49    -0.0001727     0.0001062     0.0000000     5.80270     0.00000
     1    50     0.0000000     0.0000000    -0.0000043     5.86100     0.00000
     1    51     0.0000000     0.0000000     0.0000143     5.86240     0.00000
     1    52     0.0000000     0.0000000    -0.0000022     5.89130     0.00000
     1    53    -0.0003122     0.0001896     0.0000000     5.92720     0.00000
     1    54     0.0000000     0.0000000     0.0000569     5.93900     0.00000
     1    55     0.0000000     0.0000000     0.0000173     6.01060     0.00000
     1    56     0.0000000     0.0000000    -0.0000004     6.05770     0.00000
     1    57     0.0000210     0.0000464     0.0000000     6.06560     0.00000
     1    58     0.0000000     0.0000000    -0.0000811     6.14650     0.00000
     1    59     0.0002271    -0.0001407     0.0000000     6.22990     0.00000
     1    60     0.0000000     0.0000000    -0.0001016     6.23110     0.00000
     1    61    -0.0126415    -0.0204722     0.0000000     6.27260     0.00009
     1    62    -0.0000072    -0.0000051     0.0000000     6.35750     0.00000
     1    63     0.0000000     0.0000000    -0.0000073     6.44650     0.00000
     1    64     0.0000000     0.0000000     0.0000043     6.49820     0.00000
     1    65    -0.4145981     0.2561458     0.0000000     6.51760     0.03792
     1    66    -0.0010811     0.0006678     0.0000000     6.55340     0.00000
     1    67     0.0000000     0.0000000    -0.0211239     6.60050     0.00007
     1    68    -0.2996431     0.1851287     0.0000000     6.60340     0.02007
     1    69     0.2392135    -0.1478009     0.0000000     6.69480     0.01297
     1    70     0.0000000     0.0000000    -0.0000082     6.75140     0.00000
     1    71     0.0000000     0.0000000    -0.0000047     6.80210     0.00000
     1    72     0.0000000     0.0000000     0.0128911     6.82740     0.00003
     1    73     0.0000196     0.0000317     0.0000000     6.85530     0.00000
     1    74    -0.0000666    -0.0001083     0.0000000     6.89090     0.00000
     1    75     0.0000000     0.0000000    -0.0000004     6.92820     0.00000
     1    76     0.0000000     0.0000000     0.0000015     6.93400     0.00000
     1    77     0.0000000     0.0000000    -0.0000001     6.93500     0.00000
     1    78     0.0002892    -0.0002740     0.0000000     7.04250     0.00000
     1    79     0.2911243     0.4712038     0.0000000     7.04420     0.05295
     1    80     0.0002106    -0.0001253     0.0000000     7.10840     0.00000
     1    81    -0.0001026     0.0000609     0.0000000     7.18970     0.00000
     1    82     0.0000000     0.0000000    -0.0000051     7.25650     0.00000
     1    83    -0.0235477     0.0145800     0.0000000     7.30830     0.00014
     1    84     0.0854497     0.1383071     0.0000000     7.32630     0.00474
     1    85     0.0000000     0.0000000     0.0065794     7.32680     0.00001
     1    86    -0.0023797    -0.0038502     0.0000000     7.32770     0.00000
     1    87     0.0000000     0.0000000    -0.0000377     7.32800     0.00000
     1    88     0.0000000     0.0000000    -0.0000471     7.33800     0.00000
     1    89     0.0000000     0.0000000    -0.0000003     7.36690     0.00000
     1    90     0.0050484     0.0081689     0.0000000     7.45090     0.00002
     1    91    -0.0009920     0.0005914     0.0000000     7.50170     0.00000
     1    92     0.0000000     0.0000000    -0.0011690     7.51040     0.00000
     1    93     0.0000000     0.0000000     0.0000538     7.51070     0.00000
     1    94    -0.0000157    -0.0000251     0.0000000     7.57980     0.00000
     1    95     0.0001798    -0.0000986     0.0000000     7.61700     0.00000
     1    96     0.0000000     0.0000000     0.0000011     7.63000     0.00000
     1    97     0.0000000     0.0000000     0.0150767     7.76510     0.00004
     1    98    -0.0000021    -0.0000062     0.0000000     7.79710     0.00000
     1    99     0.1070701    -0.0661536     0.0000000     7.80050     0.00303
     1   100    -0.0142743    -0.0231206     0.0000000     7.82030     0.00014
     1   101    -0.0248393     0.0153270     0.0000000     7.82500     0.00016
     1   102     0.0000000     0.0000000    -0.0014711     7.82770     0.00000
     1   103     0.0000000     0.0000000     0.0032979     7.84330     0.00000
     1   104     0.0000000     0.0000000    -0.0000205     7.88700     0.00000
     1   105    -0.0055543     0.0034296     0.0000000     7.92780     0.00001
     1   106    -0.0000549    -0.0000885     0.0000000     8.03000     0.00000
     1   107    -0.0000280    -0.0000454     0.0000000     8.11150     0.00000
     1   108     0.0000000     0.0000000    -0.0001293     8.13890     0.00000
     1   109     0.0000000     0.0000000    -0.0239447     8.13920     0.00011
     1   110     0.0024500     0.0039799     0.0000000     8.15210     0.00000
     1   111     0.0170230     0.0275488     0.0000000     8.16190     0.00021
     1   112    -0.0179923    -0.0290863     0.0000000     8.20970     0.00024
     1   113     0.0000000     0.0000000    -0.0000006     8.24490     0.00000
     1   114     0.0000000     0.0000000    -0.0000002     8.25750     0.00000
     1   115     0.0000076     0.0000120     0.0000000     8.29870     0.00000
     1   116     0.0000000     0.0000000    -0.0000004     8.36510     0.00000
     1   117     0.0000033    -0.0000019     0.0000000     8.37340     0.00000
     1   118     0.0021868    -0.0013493     0.0000000     8.38990     0.00000
     1   119     0.0000130    -0.0000072     0.0000000     8.39560     0.00000
     1   120     0.0000000     0.0000000    -0.0000024     8.40220     0.00000
     1   121    -0.0000190     0.0000104     0.0000000     8.44850     0.00000
     1   122     0.0000000     0.0000000    -0.0000335     8.54330     0.00000
     1   123     0.0369900    -0.0228306     0.0000000     8.56370     0.00040
     1   124     0.0000000     0.0000000     0.0000855     8.60320     0.00000
     1   125     0.0000000     0.0000000     0.0164243     8.60330     0.00006
     1   126     0.0000000     0.0000000     0.0457950     8.71320     0.00045
     1   127     0.0000000     0.0000000    -0.0026284     8.71430     0.00000
     1   128     0.0000000     0.0000000     0.0000012     8.79630     0.00000
     1   129    -0.0080252    -0.0130047     0.0000000     8.82900     0.00005
     1   130     0.0033208     0.0053805     0.0000000     8.84000     0.00001
     1   131     0.0000000     0.0000000     0.0000950     8.88920     0.00000
     1   132     0.1614932    -0.0997619     0.0000000     8.91120     0.00787
     1   133     0.0000000     0.0000000     0.1210340     8.91670     0.00320
     1   134     0.0000000     0.0000000     0.0005594     9.08100     0.00000
     1   135     0.0000000     0.0000000    -0.0000194     9.09810     0.00000
     1   136     0.0000000     0.0000000     0.0000020     9.11400     0.00000
     1   137     0.0000026    -0.0000008     0.0000000     9.15970     0.00000
     1   138    -0.0026597    -0.0043177     0.0000000     9.18780     0.00001
     1   139     0.0000000     0.0000000    -0.0009525     9.19020     0.00000
     1   140    -0.0119329    -0.0193942     0.0000000     9.38370     0.00012
     1   141     0.0000000     0.0000000     0.0000665     9.38750     0.00000
     1   142     0.0000000     0.0000000    -0.0000017     9.40910     0.00000
     1   143    -0.0000214    -0.0000356     0.0000000     9.41140     0.00000
     1   144     0.0000000     0.0000000    -0.0000005     9.42430     0.00000
     1   145     0.0000000     0.0000000    -0.0010003     9.43990     0.00000
     1   146    -0.1269844     0.0784547     0.0000000     9.44150     0.00515
     1   147     0.0000222    -0.0000185     0.0000000     9.49760     0.00000
     1   148     0.0000000     0.0000000    -0.0000022     9.50650     0.00000
     1   149     0.0046431     0.0074898     0.0000000     9.55010     0.00002
     1   150     0.0000000     0.0000000    -0.0000014     9.56390     0.00000
     1   151     0.0000000     0.0000000    -0.0000022     9.57370     0.00000
     1   152     0.0000000     0.0000000    -0.0548312     9.60570     0.00071
     1   153     0.0000042    -0.0000023     0.0000000     9.64820     0.00000
     1   154     0.0000000     0.0000000     0.0000391     9.68070     0.00000
     1   155    -0.0115218     0.0071127     0.0000000     9.68100     0.00004
     1   156     0.0000000     0.0000000    -0.0000010     9.71880     0.00000
     1   157     0.0000000     0.0000000     0.0547992     9.76260     0.00072
     1   158     0.0000000     0.0000000     0.0000621     9.76840     0.00000
     1   159     0.0057046    -0.0035216     0.0000000     9.78710     0.00001
     1   160     0.0000000     0.0000000     0.0024422     9.82370     0.00000
     1   161     0.0000000     0.0000000    -0.1692068     9.84160     0.00690
     1   162     0.0000000     0.0000000     0.0000031     9.86690     0.00000
     1   163     0.0000000     0.0000000    -0.4413193     9.88770     0.04718
     1   164    -0.0080291    -0.0130066     0.0000000     9.91580     0.00006
     1   165    -0.0000009    -0.0000011     0.0000000     9.94500     0.00000
     1   166     0.0000000     0.0000000    -0.2443059     9.95520     0.01456
     1   167     0.0000000     0.0000000     0.0000735     9.95640     0.00000
     1   168    -0.0000093     0.0000057     0.0000000     9.96440     0.00000
     1   169     0.0000000     0.0000000     0.0007524    10.00940     0.00000
     1   170     0.0000000     0.0000000    -0.0000006    10.03080     0.00000
     1   171     0.0000000     0.0000000     0.0000055    10.04350     0.00000
     1   172     0.0000000     0.0000000     0.0000008    10.04370     0.00000
     1   173     0.0000000     0.0000000     0.0004367    10.05700     0.00000
     1   174     0.0057802     0.0093482     0.0000000    10.09620     0.00003
     1   175     0.0000000     0.0000000     0.0228981    10.18050     0.00013
     1   176     0.0000000     0.0000000    -0.0000014    10.20380     0.00000
     1   177    -0.0027047     0.0016725     0.0000000    10.21930     0.00000
     1   178     0.0000000     0.0000000    -0.0001931    10.29280     0.00000
     1   179     0.0002436     0.0003875     0.0000000    10.34980     0.00000
     1   180     0.0000204    -0.0000123     0.0000000    10.38880     0.00000
     1   181     0.0000000     0.0000000    -0.0000038    10.39640     0.00000
     1   182     0.0000168     0.0000289     0.0000000    10.40680     0.00000
     1   183     0.0000000     0.0000000     0.0298385    10.44710     0.00023
     1   184     0.0000000     0.0000000    -0.0000339    10.48930     0.00000
     1   185     0.0000012     0.0000092     0.0000000    10.49910     0.00000
     1   186     0.0000000     0.0000000     0.0000830    10.54890     0.00000
     1   187    -0.0001347     0.0000838     0.0000000    10.55720     0.00000
     1   188     0.0111620    -0.0068784     0.0000000    10.57430     0.00004
     1   189     0.0000000     0.0000000     0.0000014    10.57700     0.00000
     1   190     0.0048672     0.0078750     0.0000000    10.63040     0.00002
     1   191     0.0000000     0.0000000    -0.0000500    10.64560     0.00000
